team,total_wins,total_draws,total_losses,total_points,total_goals,total_goals_conceded,total_clean_sheet,total_tackles,total_pass,total_touches,season,date,total_spend,total_sold,estimated_squad_value,stadium_name
Arsenal,24,11,3,83,74,31,15,878,18831,28156,2008,2008,27.86,51.05,,
Arsenal,20,12,6,72,68,37,16,875,18991,29877,2009,2009,36.14,23.22,,
Arsenal,23,6,9,75,83,41,14,818,19291,29807,2010,2010,10.8,42.93,,
Arsenal,19,11,8,68,72,43,13,772,20150,28629,2011,2011,20.7,7.29,,
Arsenal,21,7,10,70,74,49,13,751,20599,28338,2012,2012,58.93,70.46,,
Arsenal,21,10,7,73,72,37,14,748,21110,28862,2013,2013,50.4,59.27,,
Arsenal,24,7,7,79,68,41,17,714,21561,29825,2014,2014,44.33,10.94,,
Arsenal,22,9,7,75,71,36,13,739,20527,29045,2015,2015,107.08,25.02,,
Arsenal,20,11,7,71,65,36,18,709,21249,29337,2016,2016,23.85,2.25,,
Arsenal,23,6,9,75,77,44,13,673,21394,28931,2017,2017,101.74,9.32,,
Arsenal,19,6,13,63,74,51,13,623,23524,30635,2018,2018,137.57,140.58,,
Arsenal,21,7,10,70,73,51,8,609,20805,28126,2019,2019,72.14,7.56,,
Chelsea,25,10,3,85,65,26,21,917,17252,26290,2008,2008,53.1,39.29,,
Chelsea,25,8,5,83,68,24,22,773,19923,29962,2009,2009,27.45,40.1,,
Chelsea,27,5,6,86,103,32,18,772,18852,28914,2010,2010,27,3.42,,
Chelsea,21,8,9,71,69,33,15,769,19236,27426,2011,2011,109.35,14.85,,
Chelsea,18,10,10,64,65,46,10,698,18766,26276,2012,2012,86.81,29.16,,
Chelsea,22,9,7,75,75,39,14,710,18425,25959,2013,2013,98.73,22.91,,
Chelsea,25,7,6,82,71,27,18,733,18266,26541,2014,2014,117.32,69.69,,
Chelsea,26,9,3,87,73,32,17,759,20268,27861,2015,2015,123.93,130.37,,
Chelsea,12,14,12,50,59,53,9,790,19664,27362,2016,2016,81.45,78.74,,
Chelsea,30,3,5,93,85,33,16,652,20125,27658,2017,2017,119.52,97.56,,
Chelsea,21,7,10,70,62,38,16,636,21264,28728,2018,2018,234.45,180.54,,
Chelsea,21,9,8,72,63,39,16,618,25070,32358,2019,2019,189,64.58,,
Everton,19,8,11,65,55,33,14,816,12397,21360,2008,2008,33.8,13.32,,
Everton,17,12,9,63,55,37,17,775,15024,25205,2009,2009,22.57,11.97,,
Everton,16,13,9,61,60,49,11,768,14832,24914,2010,2010,20.97,25.51,,
Everton,13,15,10,54,51,45,9,768,14371,22628,2011,2011,1.53,5.94,,
Everton,15,11,12,56,50,40,12,624,15063,22706,2012,2012,6.48,24.12,,
Everton,16,15,7,63,55,40,11,720,15829,23854,2013,2013,19.49,16.88,,
Everton,21,9,8,72,61,39,15,744,18301,26857,2014,2014,28.62,41.49,,
Everton,12,11,15,47,48,50,10,657,18809,26729,2015,2015,36.14,1.71,,
Everton,11,14,13,47,59,55,10,730,17947,25741,2016,2016,44.01,9.9,,
Everton,17,10,11,61,62,44,13,712,17586,25309,2017,2017,77.31,54.72,,
Everton,13,10,15,49,44,58,10,644,14749,22298,2018,2018,182.88,113.74,,
Everton,15,9,14,54,54,46,14,700,16494,24496,2019,2019,89.82,25.79,,
Leicester,0,0,0,0,0,0,0,0,0,0,2008,2008,0,0,,
Leicester,0,0,0,0,0,0,0,0,0,0,2009,2009,0,0,,
Leicester,0,0,0,0,0,0,0,0,0,0,2010,2010,0,0,,
Leicester,0,0,0,0,0,0,0,0,0,0,2011,2011,0,0,,
