team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,penalty_save,total_high_claim,punches,season,date
Arsenal,24,3,74,55,3,627,208,13,14,5,1,65,9,7,110,15,31,91,505,878,1,1840,2,4,3,18831,1946,888,234,28156,2,1,45,26,2008,2008
Arsenal,20,6,68,58,3,662,220,22,14,5,0,62,6,7,88,16,37,87,872,875,6,1280,3,5,3,18991,2044,1069,267,29877,9,2,65,26,2009,2009
Arsenal,23,9,83,56,1,660,233,15,11,3,2,65,18,9,93,14,41,89,839,818,26,1091,2,7,5,19291,1837,1023,257,29807,3,2,75,24,2010,2010
Arsenal,19,8,72,65,6,654,238,23,9,4,1,67,5,3,93,13,43,94,709,772,3,1077,1,9,6,20150,1462,928,252,28629,4,2,56,25,2011,2011
Arsenal,21,10,74,64,4,637,236,15,9,2,2,64,10,9,88,13,49,93,605,751,25,766,5,4,3,20599,1665,896,262,28338,3,1,52,27,2012,2012
Arsenal,21,7,72,42,5,597,205,16,11,5,2,65,7,7,80,14,37,94,636,748,19,873,0,6,4,21110,1755,951,260,28862,5,1,31,20,2013,2013
Arsenal,24,7,68,53,4,523,213,15,12,3,0,63,5,4,74,17,41,101,541,714,14,1207,2,6,5,21561,1799,753,210,29825,3,1,70,27,2014,2014
Arsenal,22,7,71,68,2,610,227,13,10,6,3,62,9,2,64,13,36,106,762,739,3,1006,1,3,3,20527,1749,866,254,29045,2,0,76,13,2015,2015
Arsenal,20,7,65,40,4,571,211,21,13,1,1,61,4,3,86,18,36,128,734,709,4,849,3,1,1,21249,1859,754,227,29337,3,0,45,20,2016,2016
Arsenal,23,9,77,68,3,566,201,17,17,4,2,70,7,2,95,13,44,95,536,673,5,838,1,10,10,21394,1979,697,227,28931,1,0,36,10,2017,2017
Arsenal,19,13,74,57,2,594,234,17,13,4,1,68,7,0,89,13,51,104,427,623,5,829,0,6,5,23524,1994,572,225,30635,5,1,39,24,2018,2018
Chelsea,25,3,65,63,5,605,199,12,10,7,1,52,13,3,128,21,26,101,506,917,4,1687,0,3,3,17252,2154,945,253,26290,8,0,62,19,2008,2008
Chelsea,25,5,68,50,3,797,248,17,12,2,2,59,9,4,114,22,24,124,504,773,15,1069,1,1,0,19923,2121,938,237,29962,3,1,111,35,2009,2009
Chelsea,27,6,103,54,5,834,288,13,16,11,3,94,9,8,96,18,32,103,705,772,10,1055,1,5,4,18852,2071,1083,286,28914,3,1,87,30,2010,2010
Chelsea,21,9,69,59,1,745,244,21,12,6,2,61,8,4,113,15,33,127,616,769,19,762,1,3,2,19236,2044,995,257,27426,7,1,84,22,2011,2011
Chelsea,18,10,65,74,4,671,224,20,12,4,0,60,5,2,70,10,46,111,637,698,5,881,1,6,4,18766,2021,972,253,26276,10,0,70,17,2012,2012
Chelsea,22,7,75,51,3,626,212,7,16,9,3,64,11,3,80,14,39,104,504,710,4,981,2,1,0,18425,2008,863,240,25959,1,0,53,29,2013,2013
Chelsea,25,6,71,57,3,692,229,19,6,5,2,54,17,5,106,18,27,95,380,733,4,1141,2,1,1,18266,2052,809,248,26541,2,0,42,16,2014,2014
Chelsea,26,3,73,73,4,564,210,15,10,4,1,66,7,1,75,17,32,102,376,759,2,1027,1,3,3,20268,2276,682,226,27861,2,0,73,13,2015,2015
Chelsea,12,12,59,58,5,526,173,4,6,4,4,48,11,1,90,9,53,136,518,790,2,790,2,4,3,19664,2312,732,240,27362,4,1,54,27,2016,2016
Chelsea,30,5,85,72,0,580,204,17,8,2,3,73,12,7,64,16,33,78,510,652,0,839,1,2,2,20125,2399,688,218,27658,3,0,38,18,2017,2017
Chelsea,21,10,62,42,4,606,220,11,17,3,2,52,10,1,108,16,38,107,423,636,1,768,2,2,2,21264,2140,755,230,28728,3,0,27,12,2018,2018
Everton,19,11,55,40,3,474,169,4,13,1,1,48,7,7,73,14,33,133,496,816,2,2136,1,4,4,12397,2142,877,198,21360,8,0,55,20,2008,2008
Everton,17,9,55,49,1,496,169,12,14,4,4,47,8,0,99,17,37,146,660,775,12,1602,2,3,3,15024,2299,1022,191,25205,4,0,74,25,2009,2009
Everton,16,9,60,57,2,589,194,12,16,5,2,52,8,2,94,11,49,137,827,768,19,1601,3,2,0,14832,2335,1022,230,24914,4,2,52,17,2010,2010
Everton,13,10,51,55,5,580,181,8,14,3,2,43,8,4,78,9,45,149,470,768,12,1265,2,2,2,14371,2232,1019,245,22628,2,0,51,30,2011,2011
Everton,15,12,50,60,2,520,164,12,9,5,1,42,8,1,116,12,40,145,617,624,6,1130,3,4,1,15063,2048,877,180,22706,2,2,57,25,2012,2012
Everton,16,7,55,59,3,633,207,21,13,2,1,44,11,4,100,11,40,126,592,720,7,1172,2,2,2,15829,2055,989,257,23854,8,0,61,28,2013,2013
Everton,21,8,61,55,1,561,196,14,6,3,5,49,12,3,80,15,39,130,463,744,9,1103,4,6,3,18301,2239,848,251,26857,2,2,59,14,2014,2014
Everton,12,15,48,66,2,483,166,11,10,4,1,40,8,5,83,10,50,167,444,657,8,1280,2,4,4,18809,2563,690,194,26729,3,0,71,24,2015,2015
Everton,11,13,59,44,5,491,175,18,10,4,0,53,6,2,55,10,55,160,511,730,3,994,1,6,5,17947,2742,782,218,25741,4,0,53,14,2016,2016
Everton,17,11,62,72,2,502,191,12,13,3,2,59,3,2,82,13,44,149,461,712,6,1118,1,6,3,17586,2968,767,196,25309,9,2,56,19,2017,2017
